"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 3415.13613301204, 1623.18821357184, 3415.13613301204, 3781.25571519343, 91.5430551765722, 254.713698709065, 91.5430551765722
2, 3032.39853991654, 1440.54238795887, 3415.13613301204, 3781.25571519343, 81.5050552748738, 216.001623357542, 91.5430551765722
3, 2623.74810836961, 1247.50029468281, 3415.13613301204, 3781.25571519343, 72.1232508082499, 179.832983611417, 91.5430551765722
4, 2411.93020310143, 1148.33010623816, 3415.13613301204, 3781.25571519343, 67.8522640876233, 163.22994696162, 91.5430551765722
5, 2275.09970070449, 1084.54299959474, 3415.13613301204, 3781.25571519343, 65.2859759361248, 153.259790902155, 91.5430551765722
6, 2174.81689739628, 1037.91997953598, 3415.13613301204, 3781.25571519343, 63.5275217007734, 146.351856574493, 91.5430551765722
7, 2116.93288337439, 1011.08097500851, 3415.13613301204, 3781.25571519343, 62.5921565300448, 142.550111724165, 91.5430551765722
8, 2225.59024944728, 1061.62537754145, 3415.13613301204, 3781.25571519343, 64.6365164361693, 150.037284058891, 91.5430551765722
9, 2666.5093064893, 1267.80952431111, 3415.13613301204, 3781.25571519343, 73.5545583999653, 183.872547713242, 91.5430551765722
10, 3195.92168164492, 1518.25545135359, 3415.13613301204, 3781.25571519343, 86.1971484856108, 232.474895459279, 91.5430551765722
11, 3655.88055817544, 1738.71225777564, 3655.88055817544, 4048.28148366494, 98.9869661990681, 281.908047299614, 98.9869661990681
12, 4237.20820780787, 2021.42546146451, 4237.20820780787, 4694.68788020795, 117.811021117982, 354.303455316252, 117.811021117982
13, 4970.32037680402, 2384.2553377373, 4970.32037680402, 5512.59994590593, 145.76227358027, 461.470460770556, 145.76227358027
14, 5198.42137171214, 2498.47018284853, 5198.42137171214, 5767.663132713, 155.411037798515, 498.448971278454, 155.411037798515
15, 5377.82505531416, 2588.97998069993, 5377.82505531416, 5968.56931483833, 163.337018370286, 528.794626875809, 163.337018370286
16, 5798.09759609464, 2802.87975182535, 5798.09759609464, 6440.03654003849, 183.131831483542, 604.202497024534, 183.131831483542
17, 5597.33863464328, 2700.53121182616, 5798.09759609464, 6440.03654003849, 173.525373370206, 567.534189261141, 183.131831483542
18, 4923.57009980877, 2360.8292632334, 5798.09759609464, 6440.03654003849, 143.785247531661, 454.158706292135, 183.131831483542
19, 4470.8093637404, 2136.46860804096, 5798.09759609464, 6440.03654003849, 126.036229657145, 386.461791547125, 183.131831483542
20, 4208.70277374986, 2007.60525904886, 5798.09759609464, 6440.03654003849, 116.576784341944, 350.356898097989, 183.131831483542
21, 3994.32082096651, 1902.93746640059, 5798.09759609464, 6440.03654003849, 109.284665153772, 322.508468916357, 183.131831483542
22, 3840.69493569209, 1828.28836978796, 5798.09759609464, 6440.03654003849, 104.320422996898, 303.494299121784, 183.131831483542
23, 3611.06387593693, 1717.35783513128, 5798.09759609464, 6440.03654003849, 97.2110543319203, 276.4204795638, 183.131831483542
24, 3173.58161012244, 1507.73236906116, 5798.09759609464, 6440.03654003849, 85.0203569983388, 229.695039236635, 183.131831483542
25, 2716.45110480992, 1291.13579159854, 5798.09759609464, 6440.03654003849, 74.0579775261925, 187.50801322397, 183.131831483542
26, 2343.41644714144, 1116.28053224755, 5798.09759609464, 6440.03654003849, 66.4357254329964, 158.058075362204, 183.131831483542
27, 2101.40627692076, 1003.79406482375, 5798.09759609464, 6440.03654003849, 62.1223243996488, 141.335580776674, 183.131831483542
28, 1964.38864128479, 940.452611432642, 5798.09759609464, 6440.03654003849, 59.9088667616944, 132.704096147255, 183.131831483542
29, 1936.18090019641, 927.475271331557, 5798.09759609464, 6440.03654003849, 59.5518182809217, 131.082206864895, 183.131831483542
30, 1936.40940078796, 927.616544489793, 5798.09759609464, 6440.03654003849, 59.5470285148663, 131.087480381647, 183.131831483542
31, 2172.55765605363, 1037.16610998411, 5798.09759609464, 6440.03654003849, 63.4144355367798, 146.142488977883, 183.131831483542
32, 2396.80772348773, 1141.56769517424, 5798.09759609464, 6440.03654003849, 67.5315299383861, 162.074832392019, 183.131831483542
33, 2328.93143483958, 1109.68532087014, 5798.09759609464, 6440.03654003849, 66.3323275123112, 157.159530196247, 183.131831483542
34, 2541.66131100479, 1209.26668388547, 5798.09759609464, 6440.03654003849, 70.5856764981242, 173.380891164517, 183.131831483542
35, 2725.84656168762, 1295.74827881647, 5798.09759609464, 6440.03654003849, 74.5517325246621, 188.564630831479, 183.131831483542
36, 3121.03643066127, 1482.7569783162, 5798.09759609464, 6440.03654003849, 83.9545880330471, 224.740496318602, 183.131831483542
37, 3764.34652978256, 1791.1587035973, 5798.09759609464, 6440.03654003849, 101.998311871657, 294.302448537033, 183.131831483542
38, 4302.84936812573, 2053.45768889524, 5798.09759609464, 6440.03654003849, 119.864168451158, 362.925059693102, 183.131831483542
39, 4685.68204373453, 2242.36412349838, 5798.09759609464, 6440.03654003849, 134.1138881028, 417.532987965529, 183.131831483542
40, 4984.35212123735, 2391.14478502359, 5798.09759609464, 6440.03654003849, 146.127779163364, 463.506070929066, 183.131831483542
41, 5268.88495338333, 2533.97073015165, 5798.09759609464, 6440.03654003849, 158.36636428664, 510.154569588398, 183.131831483542
42, 5324.2679677889, 2562.01930057493, 5798.09759609464, 6440.03654003849, 160.907575523733, 519.667273632013, 183.131831483542
43, 5522.66974257795, 2662.34192394991, 5798.09759609464, 6440.03654003849, 170.02115919243, 554.226352538144, 183.131831483542
44, 5408.95084607246, 2604.8779341679, 5798.09759609464, 6440.03654003849, 164.860095528962, 534.412264241249, 183.131831483542
45, 5025.96886288401, 2412.2896065374, 5798.09759609464, 6440.03654003849, 148.045440414267, 470.455844997439, 183.131831483542
46, 4804.76856448605, 2301.7971479226, 5798.09759609464, 6440.03654003849, 138.932033001168, 435.745035805332, 183.131831483542
47, 4373.47644127969, 2088.57065065166, 5798.09759609464, 6440.03654003849, 122.395306387814, 372.744517118696, 183.131831483542
48, 3854.33606138028, 1835.0340348663, 5798.09759609464, 6440.03654003849, 104.693428890945, 305.087823708893, 183.131831483542
49, 3175.29332965932, 1508.50882637498, 5798.09759609464, 6440.03654003849, 85.0751490580906, 229.881118092662, 183.131831483542
