"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 1.01314, 0, 1.05, 62302, sourcebus, 0, 1.00168, 0, 1.03265, x_39754_1, x_14836
2, 0, 1.01716, 0, 1.05, 62302, sourcebus, 0, 1.00722, 0, 1.03479, x_39754_1, x_14836
3, 0, 1.02144, 0, 1.05, 62302, sourcebus, 0, 1.01314, 0, 1.03704, x_39754_1, x_14836
4, 0, 1.02365, 0, 1.05, 62302, sourcebus, 0, 1.01447, 0, 1.03822, x_69478_1, x_14836
5, 0, 1.02508, 0, 1.05, 62302, sourcebus, 0, 1.01554, 0, 1.03897, x_69478_1, x_14836
6, 0, 1.02611, 0, 1.05, 62302, sourcebus, 0, 1.01612, 0, 1.03954, x_69478_1, x_14836
7, 0, 1.02665, 0, 1.05, 62302, sourcebus, 0, 1.01596, 0, 1.0399, x_6568_1, x_14836
8, 0, 1.02541, 0, 1.05, 62302, sourcebus, 0, 1.01204, 0, 1.03939, x_6568_1, x_14836
9, 0, 1.02066, 0, 1.05, 62302, sourcebus, 0, 1.00391, 0, 1.0371, x_6568_1, x_14836
10, 0, 1.01504, 0, 1.05, 62302, sourcebus, 0, 0.996548, 0, 1.03424, x_6568_1, x_14836
11, 0, 1.0102, 0, 1.05, 62302, sourcebus, 0, 0.991247, 0, 1.0317, x_6568_1, x_14836
12, 0, 1.00407, 0, 1.05, 62302, sourcebus, 0, 0.984799, 0, 1.02848, x_6568_1, x_14836
13, 0, 0.996343, 0, 1.05, 62302, sourcebus, 0, 0.977259, 0, 1.02438, x_6568_1, x_14836
14, 0, 0.993979, 0, 1.05, 62302, sourcebus, 0, 0.975857, 0, 1.02307, x_39754_1, x_14836
15, 0, 0.992155, 0, 1.05, 62302, sourcebus, 0, 0.973242, 0, 1.022, x_39754_1, x_14836
16, 0, 0.987779, 0, 1.05, 62302, sourcebus, 0, 0.967117, 0, 1.01956, x_39754_1, x_14836
17, 0, 0.989951, 0, 1.05, 62302, sourcebus, 0, 0.970032, 0, 1.02066, x_39754_1, x_14836
18, 0, 0.99714, 0, 1.05, 62302, sourcebus, 0, 0.979824, 0, 1.0244, x_39754_1, x_14836
19, 0, 1.00195, 0, 1.05, 62302, sourcebus, 0, 0.986385, 0, 1.02689, x_39754_1, x_14836
20, 0, 1.00475, 0, 1.05, 62302, sourcebus, 0, 0.990185, 0, 1.02831, x_39754_1, x_14836
