"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
4381, 0, 1.0157, 0, 1.05, 62302, sourcebus, 0, 1.00416, 0, 1.03423, x_6568_1, x_14836
4382, 0, 1.01605, 0, 1.05, 62302, sourcebus, 0, 1.00555, 0, 1.03436, x_6568_1, x_14836
4383, 0, 1.01657, 0, 1.05, 62302, sourcebus, 0, 1.00627, 0, 1.03461, x_69478_1, x_14836
4384, 0, 1.01826, 0, 1.05, 62302, sourcebus, 0, 1.00808, 0, 1.03544, x_69478_1, x_14836
4385, 0, 1.01846, 0, 1.05, 62302, sourcebus, 0, 1.00885, 0, 1.03553, x_69478_1, x_14836
4386, 0, 1.01714, 0, 1.05, 62302, sourcebus, 0, 1.00719, 0, 1.03479, x_39754_1, x_14836
4387, 0, 1.01354, 0, 1.05, 62302, sourcebus, 0, 1.00218, 0, 1.03284, x_39754_1, x_14836
4388, 0, 1.01229, 0, 1.05, 62302, sourcebus, 0, 1.0004, 0, 1.03213, x_39754_1, x_14836
4389, 0, 1.01186, 0, 1.05, 62302, sourcebus, 0, 0.999804, 0, 1.0319, x_39754_1, x_14836
4390, 0, 1.012, 0, 1.05, 62302, sourcebus, 0, 0.999971, 0, 1.03194, x_39754_1, x_14836
4391, 0, 1.01276, 0, 1.05, 62302, sourcebus, 0, 1.001, 0, 1.03232, x_39754_1, x_14836
4392, 0, 1.01645, 0, 1.05, 62302, sourcebus, 0, 1.00606, 0, 1.03423, x_39754_1, x_14836
4393, 0, 1.01763, 0, 1.05, 62302, sourcebus, 0, 1.00774, 0, 1.0349, x_39754_1, x_14836
4394, 0, 1.0193, 0, 1.05, 62302, sourcebus, 0, 1.01006, 0, 1.03578, x_39754_1, x_14836
4395, 0, 1.01957, 0, 1.05, 62302, sourcebus, 0, 1.01046, 0, 1.03594, x_39754_1, x_14836
4396, 0, 1.01865, 0, 1.05, 62302, sourcebus, 0, 1.00916, 0, 1.03544, x_39754_1, x_14836
4397, 0, 1.01767, 0, 1.05, 62302, sourcebus, 0, 1.00783, 0, 1.03494, x_39754_1, x_14836
4398, 0, 1.01563, 0, 1.05, 62302, sourcebus, 0, 1.00502, 0, 1.03388, x_39754_1, x_14836
4399, 0, 1.01299, 0, 1.05, 62302, sourcebus, 0, 1.00137, 0, 1.03248, x_39754_1, x_14836
4400, 0, 1.01131, 0, 1.05, 62302, sourcebus, 0, 0.999035, 0, 1.03159, x_39754_1, x_14836
4401, 0, 1.00956, 0, 1.05, 62302, sourcebus, 0, 0.996634, 0, 1.03067, x_39754_1, x_14836
4402, 0, 1.01026, 0, 1.05, 62302, sourcebus, 0, 0.997596, 0, 1.03105, x_39754_1, x_14836
4403, 0, 1.01113, 0, 1.05, 62302, sourcebus, 0, 0.998795, 0, 1.03151, x_39754_1, x_14836
4404, 0, 1.01454, 0, 1.05, 62302, sourcebus, 0, 1.00344, 0, 1.03326, x_39754_1, x_14836
4405, 0, 1.01763, 0, 1.05, 62302, sourcebus, 0, 1.00769, 0, 1.03487, x_39754_1, x_14836
4406, 0, 1.01975, 0, 1.05, 62302, sourcebus, 0, 1.01063, 0, 1.036, x_39754_1, x_14836
4407, 0, 1.02211, 0, 1.05, 62302, sourcebus, 0, 1.01389, 0, 1.03723, x_39754_1, x_14836
4408, 0, 1.02272, 0, 1.05, 62302, sourcebus, 0, 1.01472, 0, 1.03755, x_39754_1, x_14836
4409, 0, 1.02187, 0, 1.05, 62302, sourcebus, 0, 1.01359, 0, 1.03713, x_39754_1, x_14836
4410, 0, 1.01971, 0, 1.05, 62302, sourcebus, 0, 1.01072, 0, 1.03609, x_39754_1, x_14836
4411, 0, 1.01383, 0, 1.05, 62302, sourcebus, 0, 1.00256, 0, 1.03295, x_39754_1, x_14836
4412, 0, 1.01416, 0, 1.05, 62302, sourcebus, 0, 1.003, 0, 1.03312, x_39754_1, x_14836
4413, 0, 1.01472, 0, 1.05, 62302, sourcebus, 0, 1.00371, 0, 1.03336, x_39754_1, x_14836
4414, 0, 1.01493, 0, 1.05, 62302, sourcebus, 0, 1.00399, 0, 1.03345, x_39754_1, x_14836
4415, 0, 1.01615, 0, 1.05, 62302, sourcebus, 0, 1.00566, 0, 1.03409, x_39754_1, x_14836
4416, 0, 1.01767, 0, 1.05, 62302, sourcebus, 0, 1.00773, 0, 1.03486, x_39754_1, x_14836
4417, 0, 1.01969, 0, 1.05, 62302, sourcebus, 0, 1.01057, 0, 1.03597, x_39754_1, x_14836
4418, 0, 1.0217, 0, 1.05, 62302, sourcebus, 0, 1.0133, 0, 1.03699, x_39754_1, x_14836
4419, 0, 1.0234, 0, 1.05, 62302, sourcebus, 0, 1.01565, 0, 1.03788, x_39754_1, x_14836
4420, 0, 1.02346, 0, 1.05, 62302, sourcebus, 0, 1.01574, 0, 1.03792, x_39754_1, x_14836
4421, 0, 1.02322, 0, 1.05, 62302, sourcebus, 0, 1.01542, 0, 1.0378, x_39754_1, x_14836
4422, 0, 1.0222, 0, 1.05, 62302, sourcebus, 0, 1.01402, 0, 1.03728, x_39754_1, x_14836
4423, 0, 1.02009, 0, 1.05, 62302, sourcebus, 0, 1.0111, 0, 1.03616, x_39754_1, x_14836
4424, 0, 1.01913, 0, 1.05, 62302, sourcebus, 0, 1.00973, 0, 1.03563, x_39754_1, x_14836
4425, 0, 1.01665, 0, 1.05, 62302, sourcebus, 0, 1.00634, 0, 1.03436, x_39754_1, x_14836
4426, 0, 1.01402, 0, 1.05, 62302, sourcebus, 0, 1.00273, 0, 1.03299, x_39754_1, x_14836
4427, 0, 1.01223, 0, 1.05, 62302, sourcebus, 0, 1.00025, 0, 1.03204, x_39754_1, x_14836
4428, 0, 1.01196, 0, 1.05, 62302, sourcebus, 0, 0.999848, 0, 1.03187, x_39754_1, x_14836
4429, 0, 1.01389, 0, 1.05, 62302, sourcebus, 0, 1.00247, 0, 1.03285, x_39754_1, x_14836
4430, 0, 1.0138, 0, 1.05, 62302, sourcebus, 0, 1.00235, 0, 1.0328, x_39754_1, x_14836
4431, 0, 1.01571, 0, 1.05, 62302, sourcebus, 0, 1.00499, 0, 1.03381, x_39754_1, x_14836
4432, 0, 1.01478, 0, 1.05, 62302, sourcebus, 0, 1.00371, 0, 1.03332, x_39754_1, x_14836
4433, 0, 1.01597, 0, 1.05, 62302, sourcebus, 0, 1.00537, 0, 1.03397, x_39754_1, x_14836
4434, 0, 1.01148, 0, 1.05, 62302, sourcebus, 0, 0.999273, 0, 1.03168, x_39754_1, x_14836
4435, 0, 1.00833, 0, 1.05, 62302, sourcebus, 0, 0.994923, 0, 1.03001, x_39754_1, x_14836
4436, 0, 1.00692, 0, 1.05, 62302, sourcebus, 0, 0.992952, 0, 1.02924, x_39754_1, x_14836
4437, 0, 1.00629, 0, 1.05, 62302, sourcebus, 0, 0.992052, 0, 1.02888, x_39754_1, x_14836
4438, 0, 1.00517, 0, 1.05, 62302, sourcebus, 0, 0.9905, 0, 1.02828, x_39754_1, x_14836
4439, 0, 1.00689, 0, 1.05, 62302, sourcebus, 0, 0.992839, 0, 1.02916, x_39754_1, x_14836
4440, 0, 1.0096, 0, 1.05, 62302, sourcebus, 0, 0.996596, 0, 1.0306, x_39754_1, x_14836
4441, 0, 1.01149, 0, 1.05, 62302, sourcebus, 0, 0.999143, 0, 1.03155, x_39754_1, x_14836
4442, 0, 1.01224, 0, 1.05, 62302, sourcebus, 0, 1.00017, 0, 1.03193, x_39754_1, x_14836
