"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "12.5 kV Losses", "0.415 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "12.5 kV Line Loss", "0.415 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "12.5 kV Load Loss", "0.415 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "12.5 kV No Load Loss", "0.415 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "12.5 kV Load Energy", "0.415 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
4381, 3150.69, 1398.47, 3150.69, 3447.11, 3073.25, 1272, 3073.25, 3326.09, 0, 0, 0, 0, 77.4346, 126.464, 77.4346, 126.464, 34.6831, 40.961, 42.7515, 85.5031, 34.6831, 42.7515, 22.0939, 55.3408, 14.4123, 0.92914, 15.3415, 6.75238, 0, 0, 0, 0, 73.5981, 3.83656, 0, 0, 0, 0, 0, 18.2573, 3.83656, 0, 0, 0, 0, 0, 12.5892, 0, 0, 0, 0, 0, 0, 42.7515, 0, 0, 0, 0, 0, 0, 0, 3073.25, 0, 0, 0, 0, 0
4382, 3121.14, 1386.25, 3150.69, 3447.11, 3044.33, 1260.87, 3073.25, 3326.09, 0, 0, 0, 0, 76.7902, 125.429, 77.4346, 126.464, 34.0167, 39.8818, 42.7736, 85.5471, 34.6831, 42.7736, 21.6634, 55.1268, 14.1362, 0.912249, 15.0485, 6.61493, 0, 0, 0, 0, 73.0291, 3.76115, 0, 0, 0, 0, 0, 17.9023, 3.76115, 0, 0, 0, 0, 0, 12.3533, 0, 0, 0, 0, 0, 0, 42.7736, 0, 0, 0, 0, 0, 0, 0, 3044.33, 0, 0, 0, 0, 0
4383, 3073.96, 1366.71, 3150.69, 3447.11, 2998.13, 1242.97, 3073.25, 3326.09, 0, 0, 0, 0, 75.8057, 123.82, 77.4346, 126.464, 32.9972, 38.203, 42.8085, 85.6169, 34.6831, 42.8085, 21.0095, 54.7961, 13.7104, 0.885869, 14.5963, 6.41324, 0, 0, 0, 0, 72.1559, 3.64974, 0, 0, 0, 0, 0, 17.3598, 3.64974, 0, 0, 0, 0, 0, 11.9877, 0, 0, 0, 0, 0, 0, 42.8085, 0, 0, 0, 0, 0, 0, 0, 2998.13, 0, 0, 0, 0, 0
4384, 2917.83, 1301.94, 3150.69, 3447.11, 2845.08, 1183.55, 3073.25, 3326.09, 0, 0, 0, 0, 72.6508, 118.665, 77.4346, 126.464, 29.7269, 32.8167, 42.9239, 85.8478, 34.6831, 42.9239, 18.9198, 53.731, 12.3501, 0.799353, 13.1495, 5.77031, 0, 0, 0, 0, 69.3638, 3.28699, 0, 0, 0, 0, 0, 15.6328, 3.28699, 0, 0, 0, 0, 0, 10.8071, 0, 0, 0, 0, 0, 0, 42.9239, 0, 0, 0, 0, 0, 0, 0, 2845.08, 0, 0, 0, 0, 0
4385, 2898.38, 1293.89, 3150.69, 3447.11, 2826.11, 1175.9, 3073.25, 3326.09, 0, 0, 0, 0, 72.2514, 118.024, 77.4346, 126.464, 29.3132, 32.147, 42.9382, 85.8765, 34.6831, 42.9382, 18.6583, 53.5931, 12.1832, 0.787394, 12.9705, 5.68778, 0, 0, 0, 0, 69.0156, 3.23583, 0, 0, 0, 0, 0, 15.4225, 3.23583, 0, 0, 0, 0, 0, 10.6549, 0, 0, 0, 0, 0, 0, 42.9382, 0, 0, 0, 0, 0, 0, 0, 2826.11, 0, 0, 0, 0, 0
4386, 3027.65, 1347.55, 3150.69, 3447.11, 2952.92, 1225.09, 3073.25, 3326.09, 0, 0, 0, 0, 74.8069, 122.236, 77.4346, 126.464, 31.9637, 36.5493, 42.8431, 85.6862, 34.6831, 42.9382, 20.3312, 54.4756, 13.2791, 0.85754, 14.1366, 6.19458, 0, 0, 0, 0, 71.281, 3.52584, 0, 0, 0, 0, 0, 16.8054, 3.52584, 0, 0, 0, 0, 0, 11.6325, 0, 0, 0, 0, 0, 0, 42.8431, 0, 0, 0, 0, 0, 0, 0, 2952.92, 0, 0, 0, 0, 0
4387, 3372.35, 1489.91, 3372.35, 3686.81, 3290.3, 1354.89, 3290.3, 3558.35, 0, 0, 0, 0, 82.2442, 134.451, 82.2442, 134.451, 39.6547, 49.272, 42.5895, 85.179, 39.6547, 42.9382, 25.1929, 57.0513, 16.4525, 1.05909, 17.5116, 7.68125, 0, 0, 0, 0, 77.8702, 4.37398, 0, 0, 0, 0, 0, 20.8189, 4.37398, 0, 0, 0, 0, 0, 14.4618, 0, 0, 0, 0, 0, 0, 42.5895, 0, 0, 0, 0, 0, 0, 0, 3290.3, 0, 0, 0, 0, 0
4388, 3494.3, 1540.09, 3494.3, 3818.63, 3409.26, 1400.74, 3409.26, 3685.8, 0, 0, 0, 0, 85.1097, 139.15, 85.1097, 139.15, 42.6098, 54.1502, 42.5, 85, 42.6098, 42.9382, 27.0387, 58.071, 17.6529, 1.13596, 18.7888, 8.24988, 0, 0, 0, 0, 80.4045, 4.70525, 0, 0, 0, 0, 0, 22.3334, 4.70525, 0, 0, 0, 0, 0, 15.5711, 0, 0, 0, 0, 0, 0, 42.5, 0, 0, 0, 0, 0, 0, 0, 3409.26, 0, 0, 0, 0, 0
4389, 3535.07, 1556.85, 3535.07, 3862.71, 3449.01, 1416.04, 3449.01, 3728.39, 0, 0, 0, 0, 86.0783, 140.742, 86.0783, 140.742, 43.6083, 55.802, 42.47, 84.94, 43.6083, 42.9382, 27.6715, 58.4068, 18.066, 1.16163, 19.2276, 8.44392, 0, 0, 0, 0, 81.2639, 4.81443, 0, 0, 0, 0, 0, 22.8571, 4.81443, 0, 0, 0, 0, 0, 15.9368, 0, 0, 0, 0, 0, 0, 42.47, 0, 0, 0, 0, 0, 0, 0, 3449.01, 0, 0, 0, 0, 0
4390, 3523.44, 1552.1, 3535.07, 3862.71, 3437.65, 1411.84, 3449.01, 3728.39, 0, 0, 0, 0, 85.7869, 140.279, 86.0783, 140.742, 43.3083, 55.3219, 42.4786, 84.9572, 43.6083, 42.9382, 27.4719, 58.315, 17.9378, 1.15159, 19.0894, 8.38249, 0, 0, 0, 0, 81.0103, 4.77659, 0, 0, 0, 0, 0, 22.6953, 4.77659, 0, 0, 0, 0, 0, 15.8364, 0, 0, 0, 0, 0, 0, 42.4786, 0, 0, 0, 0, 0, 0, 0, 3437.65, 0, 0, 0, 0, 0
