def,nargs,fun,corefun,id,sym,quoted help,transform
@def,0,dss,DSSI,0,NumCircuits,"""Number of Circuits currently defined""",
@def,0,dss,DSSI,1,ClearAll,"""Clears all circuit definitions""",
@def,0,dss,DSSI,2,ShowPanel,"""Shows non?MDI child form of the Main DSS Edit Form""",
@def,0,dss,DSSI,3,Start,"""Validate the user and start OpenDSS; returns true if successful""",
@def,0,dss,DSSI,4,NumClasses,"""Number of DSS intrinsic classes""",
@def,0,dss,DSSI,5,NumUserClasses,"""Number of user?defined classes""",
@def,0,dss,DSSI,6,Reset,"""Resets DSS Initialization for restarts""",
@def,0,dss,DSSI,7,AllowForms,"""Bool flag on the status of allowing forms""",_ == 1
@def,1,dss,DSSI,8,AllowForms,"""Bool flag to disable forms (once disabled, can’t be enabled again)""",
@def,0,dss,DSSS,0,NewCircuit,"""Make a new circuit""",
@def,0,dss,DSSS,1,Version,"""Get version string for OpenDSS""",
@def,0,dss,DSSS,2,DataPath,"""Default file path for reports, etc.""",
@def,1,dss,DSSS,3,DataPath,"""Set the default file path for reports, etc.""",
@def,0,dss,DSSS,4,DefaultEditor,"""The path name for the default text editor""",
@def,0,dss,DSSV,0,Classes,"""List of the names of intrinsic classes""",
@def,0,dss,DSSV,1,UserClasses,"""List of the names of user-defined classes""",
@def,0,activeclass,ActiveClassI,0,First,"""Sets the first element in the active class to be the active object; if object is a CktElement, ActiveCktElement also points to this element; returns 0 if none""",
@def,0,activeclass,ActiveClassI,1,Next,"""Sets the next element in the active class to be the active object; if object is a CktElement, ActiveCktElement also points to this element; returns 0 if no more""",
@def,0,activeclass,ActiveClassI,2,NumElements,"""Number of elements in the active class""",
@def,0,activeclass,ActiveClassI,3,Count,"""Number of elements in the active class; same as NumElements""",
@def,0,activeclass,ActiveClassS,0,Name,"""Name of the active element of the active class""",
@def,1,activeclass,ActiveClassS,1,Name,"""Set the name of the active element of the active class""",
@def,0,activeclass,ActiveClassS,2,ActiveClassName,"""Name of the active class""",
@def,0,activeclass,ActiveClassV,0,AllNames,"""All element names in the active class""",
@def,0,bus,BUSI,0,NumNodes,"""Number of nodes""",
@def,0,bus,BUSI,1,ZscRefresh,"""Refresh Zsc and Ysc values; execute after a major change in the circuit""",
@def,0,bus,BUSI,2,Coorddefined,"""Returns true if the X-Y coordinates are defined for the active bus""",_ == 1
@def,0,bus,BUSI,3,GetUniqueNodeNumber,"""Returns a unique node number at the active bus to avoid node collisions and adds it to the node list for the bus""",
@def,0,bus,BUSI,4,N_Customers,"""Returns the total number of customers downline from the active bus after reliability calcs""",
@def,0,bus,BUSI,5,SectionID,"""Integer ID of the feeder section in which this bus is located""",
@def,0,bus,BUSF,0,kVBase,"""Base voltage""",
@def,0,bus,BUSF,1,x,"""X coordinate of the bus""",
@def,1,bus,BUSF,2,x,"""Set the X coordinate of the bus""",
@def,0,bus,BUSF,3,y,"""Y coordinate of the bus""",
@def,1,bus,BUSF,4,y,"""Set the Y coordinate of the bus""",
@def,0,bus,BUSF,5,Distance,"""Distance in km that this bus is
from the parent EnergyMeter""",
@def,0,bus,BUSF,6,Lambda,"""Total annual failure rate for active bus after reliability calcs""",
@def,0,bus,BUSF,7,N_interrupts,"""Number of interruptions this bus per year""",
@def,0,bus,BUSF,8,Int_Duration,"""Average interruption duration, hours""",
@def,0,bus,BUSF,9,Cust_Interrupts,"""Annual number of customer-interruptions from this bus""",
@def,0,bus,BUSF,10,Cust_Duration,"""Accumulated customer outage durations, hours""",
@def,0,bus,BUSF,11,TotalMiles,"""Total length of line downline from this bus, miles""",
@def,0,bus,BUSS,0,Name,"""Active bus name; set the active bus by name with `circuit(:SetActiveBus, name)`""",
@def,0,bus,BUSV,0,Voltages,"""Bus voltages, complex""",cmplx(_)
@def,0,bus,BUSV,1,SeqVoltages,"""Sequence voltages in order of 0, 1, then 2""",
@def,0,bus,BUSV,2,Nodes,"""Vector of node numbers defined at the bus in the same order as the voltages""",
@def,0,bus,BUSV,3,Voc,"""Open-circuit voltage vector, complex""",cmplx(_)
@def,0,bus,BUSV,4,Isc,"""Short-circuit current vector, complex""",cmplx(_)
@def,0,bus,BUSV,5,PuVoltage,"""Per-unit voltages at the bus, complex""",cmplx(_)
@def,0,bus,BUSV,6,ZscMatrix,"""Short-circuit impedance matrix, complex""",reshapemat(cmplx(_))
@def,0,bus,BUSV,7,Zsc1,"""Positive-sequence short-circuit impedance looking into the bus, complex""",cmplx(_)[1]
@def,0,bus,BUSV,8,Zsc0,"""Zero-sequence short-circuit impedance looking into the bus, complex""",cmplx(_)[1]
@def,0,bus,BUSV,9,YscMatrix,"""Short-circuit admittance matrix, complex""",reshapemat(cmplx(_))
@def,0,bus,BUSV,10,CplxSeqVoltages,"""All complex sequence voltages""",cmplx(_)
@def,0,bus,BUSV,11,VLL,"""Complex vector of line-to-line voltages for 2- and 3-phase buses; returns -1. for a 1-phase bus; for more than 3 phases, only returns 3 phases""",cmplx(_)
@def,0,bus,BUSV,12,puVLL,"""Complex vector of per-unit line-to-line voltages for 2- and 3-phase buses; returns -1. for a 1-phase bus; for more than 3 phases, only returns 3 phases""",cmplx(_)
@def,0,bus,BUSV,13,VMagAngle,"""Bus voltage magnitudes with angles""",reshape2(_)
@def,0,bus,BUSV,14,puVmagAngle,"""Bus voltage magnitudes (per unit) with angles""",reshape2(_)
@def,0,capacitors,CapacitorsI,0,NumSteps,"""Number of steps""",
@def,1,capacitors,CapacitorsI,1,NumSteps,"""Set the number of steps""",
@def,0,capacitors,CapacitorsI,2,IsDelta,"""Is the connection a delta""",_ == 1
@def,1,capacitors,CapacitorsI,3,IsDelta,"""Set connection type; use `arg==true` for delta and `arg==false` for wye""",
@def,0,capacitors,CapacitorsI,4,First,"""Sets the first Capacitor active; returns 0 if none""",
@def,0,capacitors,CapacitorsI,5,Next,"""Sets the next Capacitor active; returns 0 if no more""",
@def,0,capacitors,CapacitorsI,6,Count,"""Number of capacitor objects in the active circuit""",
@def,0,capacitors,CapacitorsI,7,AddStep,"""Adds one step of the capacitor if available; if successful, returns 1""",
@def,0,capacitors,CapacitorsI,8,SubtractStep,"""Subtracts one step of the capacitor; if no more steps, returns 0""",
@def,0,capacitors,CapacitorsI,9,AvailableSteps,"""Number of steps available in the cap bank to be switched ON""",
@def,0,capacitors,CapacitorsI,10,Open,"""Open all steps, all phases of the capacitor""",
@def,0,capacitors,CapacitorsI,11,Close,"""Close all steps of all phases of the capacitor""",
@def,0,capacitors,CapacitorsIF,0,kV,"""Bank kV rating; use LL for 2 or 3 phases, or actual can rating for 1 phase""",
@def,1,capacitors,CapacitorsIF,1,kV,"""Set the bank kV rating; use LL for 2 or 3 phases, or actual can rating for 1 phase""",
